user_id,timestamp,resource,action
U128,2025-07-23 14:53:00,customer_db.sql,download
U106,2025-07-21 20:46:00,customer_db.sql,edit
U110,2025-07-24 11:39:00,server_config,access
U110,2025-07-20 21:31:00,customer_db.sql,edit
U130,2025-07-23 15:15:00,employee_list.csv,access
U113,2025-07-23 09:15:00,employee_list.csv,edit
U120,2025-07-25 11:36:00,server_config,edit
U106,2025-07-20 09:15:00,customer_db.sql,view
U112,2025-07-21 18:02:00,team_meeting_notes.docx,edit
U111,2025-07-21 22:34:00,server_config,edit
U103,2025-07-20 13:20:00,customer_db.sql,edit
U114,2025-07-21 12:20:00,server_config,view
U129,2025-07-20 19:00:00,employee_list.csv,edit
U120,2025-07-25 10:06:00,team_meeting_notes.docx,view
U115,2025-07-21 09:17:00,confidential.doc,view
U122,2025-07-20 17:14:00,server_config,view
U110,2025-07-24 11:48:00,payroll_data.xlsx,edit
U117,2025-07-23 08:20:00,hr_policy.pdf,edit
U101,2025-07-21 15:59:00,confidential.doc,download
U110,2025-07-24 11:21:00,payroll_data.xlsx,view
U115,2025-07-23 19:53:00,server_config,download
U110,2025-07-25 16:31:00,server_config,edit
U125,2025-07-21 15:06:00,payroll_data.xlsx,download
U112,2025-07-24 11:00:00,payroll_data.xlsx,view
U107,2025-07-20 17:26:00,confidential.doc,access
U122,2025-07-22 17:02:00,employee_list.csv,download
U130,2025-07-21 13:30:00,confidential.doc,view
U110,2025-07-23 09:14:00,payroll_data.xlsx,access
U129,2025-07-24 19:42:00,password_file.txt,download
U125,2025-07-24 17:44:00,password_file.txt,access
U111,2025-07-21 22:33:00,customer_db.sql,view
U105,2025-07-25 20:58:00,password_file.txt,edit
U121,2025-07-22 22:54:00,customer_db.sql,view
U105,2025-07-24 17:32:00,password_file.txt,download
U122,2025-07-25 13:35:00,team_meeting_notes.docx,view
U120,2025-07-21 19:18:00,customer_db.sql,edit
U115,2025-07-24 16:30:00,confidential.doc,access
U110,2025-07-21 08:46:00,confidential.doc,view
U113,2025-07-21 20:38:00,server_config,access
U120,2025-07-25 21:56:00,password_file.txt,download
U107,2025-07-23 13:20:00,team_meeting_notes.docx,download
U124,2025-07-24 08:34:00,password_file.txt,view
U118,2025-07-24 19:58:00,team_meeting_notes.docx,edit
U121,2025-07-21 13:12:00,password_file.txt,edit
U110,2025-07-21 10:08:00,confidential.doc,view
U120,2025-07-23 09:38:00,password_file.txt,edit
U109,2025-07-22 19:11:00,team_meeting_notes.docx,edit
U128,2025-07-21 10:44:00,customer_db.sql,view
U119,2025-07-23 11:46:00,employee_list.csv,view
U125,2025-07-25 22:21:00,payroll_data.xlsx,access
U120,2025-07-25 09:19:00,password_file.txt,access
U105,2025-07-23 08:32:00,password_file.txt,download
U115,2025-07-20 12:54:00,password_file.txt,access
U128,2025-07-25 09:19:00,confidential.doc,view
U125,2025-07-23 20:19:00,password_file.txt,edit
U125,2025-07-25 10:38:00,payroll_data.xlsx,view
U115,2025-07-21 17:08:00,server_config,edit
U126,2025-07-21 12:39:00,product_docs.zip,access
U113,2025-07-21 22:06:00,product_docs.zip,download
U125,2025-07-22 13:40:00,confidential.doc,download
U120,2025-07-23 19:34:00,server_config,download
U120,2025-07-22 16:03:00,customer_db.sql,view
U120,2025-07-20 20:53:00,password_file.txt,edit
U122,2025-07-21 10:31:00,employee_list.csv,access
U104,2025-07-21 13:49:00,customer_db.sql,access
U101,2025-07-25 22:13:00,customer_db.sql,download
U130,2025-07-20 13:36:00,server_config,access
U114,2025-07-25 09:04:00,server_config,download
U117,2025-07-20 20:42:00,password_file.txt,access
U124,2025-07-21 15:18:00,customer_db.sql,access
U125,2025-07-25 08:01:00,server_config,edit
U110,2025-07-22 12:57:00,employee_list.csv,view
U119,2025-07-25 21:41:00,product_docs.zip,view
U107,2025-07-25 09:08:00,payroll_data.xlsx,access
U120,2025-07-24 09:55:00,confidential.doc,edit
U102,2025-07-23 16:15:00,team_meeting_notes.docx,access
U107,2025-07-20 09:03:00,payroll_data.xlsx,download
U125,2025-07-25 22:37:00,payroll_data.xlsx,download
U117,2025-07-23 12:36:00,password_file.txt,edit
U118,2025-07-20 12:30:00,customer_db.sql,access
U117,2025-07-22 11:37:00,customer_db.sql,view
U109,2025-07-24 16:36:00,password_file.txt,download
U115,2025-07-24 18:44:00,customer_db.sql,view
U102,2025-07-21 14:36:00,customer_db.sql,access
U108,2025-07-23 17:40:00,confidential.doc,edit
U108,2025-07-23 16:06:00,server_config,access
U130,2025-07-21 13:42:00,customer_db.sql,access
U124,2025-07-23 08:03:00,password_file.txt,view
U127,2025-07-23 13:48:00,payroll_data.xlsx,download
U115,2025-07-24 10:29:00,customer_db.sql,edit
U105,2025-07-22 12:48:00,payroll_data.xlsx,edit
U110,2025-07-23 09:10:00,confidential.doc,view
U110,2025-07-22 17:41:00,payroll_data.xlsx,access
U105,2025-07-20 19:19:00,server_config,edit
U110,2025-07-20 13:50:00,payroll_data.xlsx,view
U105,2025-07-20 21:02:00,password_file.txt,access
U110,2025-07-23 08:35:00,confidential.doc,access
U125,2025-07-20 15:19:00,team_meeting_notes.docx,edit
U130,2025-07-23 18:41:00,employee_list.csv,access
U110,2025-07-22 19:49:00,customer_db.sql,edit
U125,2025-07-22 16:16:00,product_docs.zip,download
