user_id,timestamp,resource,action,hour,off_hours
U124,2025-07-20 10:00:00,server_config,access,10,False
U128,2025-07-24 15:42:00,customer_db.sql,download,15,False
U121,2025-07-24 12:26:00,server_config,access,12,False
U118,2025-07-21 12:59:00,customer_db.sql,view,12,False
U123,2025-07-25 15:16:00,confidential.doc,download,15,False
U125,2025-07-23 11:46:00,server_config,access,11,False
U118,2025-07-23 12:51:00,payroll_data.xlsx,access,12,False
U101,2025-07-23 16:36:00,customer_db.sql,view,16,False
U110,2025-07-24 13:39:00,server_config,download,13,False
U111,2025-07-22 20:12:00,confidential.doc,access,20,False
U105,2025-07-22 22:49:00,confidential.doc,download,22,True
U105,2025-07-21 20:05:00,payroll_data.xlsx,download,20,False
U129,2025-07-20 09:51:00,hr_policy.pdf,edit,9,False
U115,2025-07-22 13:47:00,password_file.txt,edit,13,False
U115,2025-07-25 17:24:00,password_file.txt,download,17,False
U124,2025-07-22 22:08:00,server_config,access,22,True
U109,2025-07-22 17:20:00,password_file.txt,access,17,False
U105,2025-07-25 13:12:00,confidential.doc,download,13,False
U104,2025-07-23 11:48:00,password_file.txt,access,11,False
U103,2025-07-20 19:47:00,confidential.doc,edit,19,False
U126,2025-07-21 15:53:00,password_file.txt,access,15,False
U125,2025-07-20 16:52:00,server_config,edit,16,False
U110,2025-07-21 09:37:00,confidential.doc,access,9,False
U110,2025-07-24 15:51:00,password_file.txt,view,15,False
U102,2025-07-22 12:54:00,password_file.txt,download,12,False
U126,2025-07-24 08:08:00,customer_db.sql,access,8,False
U128,2025-07-25 08:55:00,payroll_data.xlsx,access,8,False
U116,2025-07-25 13:23:00,customer_db.sql,download,13,False
U110,2025-07-24 17:22:00,password_file.txt,view,17,False
U123,2025-07-24 08:23:00,hr_policy.pdf,download,8,False
U112,2025-07-23 11:35:00,server_config,view,11,False
U125,2025-07-22 20:28:00,confidential.doc,access,20,False
U107,2025-07-25 10:02:00,employee_list.csv,access,10,False
U120,2025-07-20 13:34:00,server_config,edit,13,False
U129,2025-07-22 08:41:00,product_docs.zip,access,8,False
U118,2025-07-25 20:37:00,password_file.txt,edit,20,False
U115,2025-07-21 21:16:00,payroll_data.xlsx,edit,21,True
U129,2025-07-20 22:07:00,password_file.txt,access,22,True
U105,2025-07-20 12:53:00,customer_db.sql,view,12,False
